南部,中部,北部,東部,離島
0.015855760445219698,0.09694712307481376,0.004075583549462763,0.05640144176001673,0.0029699510831586303
0.17703193786859375,0.25761924348369214,0.029084846239347907,0.21732559067614293,0.04332634521313766
0.39018502367306257,0.45945797724052834,0.11862418179572681,0.42482150045679545,0.15513626834381553
0.5491755959797325,0.5985680118215194,0.20143262936890205,0.573871803900626,0.26816911250873515
0.643090165296121,0.6916289627226057,0.3950845992342843,0.6673595640093632,0.3590146750524109
0.6830478029736688,0.7340721782977622,0.41855008027664564,0.7085599906357155,0.3920335429769392
0.6681244289392806,0.684996115351218,0.30813881684574534,0.6765602721452493,0.3862683438155136
0.6039818506520475,0.6571424218880917,0.32493516117080395,0.6305621362700695,0.3338574423480084
0.48136473128997426,0.5239751382477948,0.1438186982833148,0.5026699347688846,0.2713137665967855
0.3063107400946923,0.3631019301372576,0.18043719896257873,0.3347063351159749,0.17295597484276728
0.10084932303347455,0.17555565711500085,0.045387180437198964,0.13820249007423768,0.053983228511530396
0.003870753384832627,0.08235150739606661,0.0012967765839199705,0.04311113039044962,0.0022711390635918936
0.0014941025002076585,0.08119982328656522,0.0003705075954057058,0.04134696289338644,0.0010482180293501049
0.00148164299360412,0.08211081151074753,0.0003705075954057058,0.04179622725217583,0.0010482180293501049
